gw,player_id,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,total_points,played,in_dreamteam
2,451,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False
2,452,63,0,0,0,2,0,0,0,0,0,0,0,2,True,False
2,453,90,0,0,0,3,0,0,0,0,0,0,0,2,True,False
2,454,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False
2,455,90,0,0,0,4,0,0,0,0,0,6,0,2,True,False
2,456,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False
2,457,90,0,0,0,4,0,0,0,0,0,0,0,0,True,False
2,458,68,0,0,0,4,0,0,0,0,0,0,0,0,True,False
2,459,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False
2,460,90,0,0,0,4,0,0,0,0,0,0,0,0,True,False
2,461,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False
2,462,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False
2,463,68,0,0,0,4,0,0,0,1,0,0,0,-1,True,False
2,464,90,0,0,0,4,0,0,0,0,0,0,0,0,True,False
2,465,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False
2,466,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False
2,467,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False
2,468,90,0,0,0,4,0,0,0,0,0,0,0,2,True,False
2,469,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False
2,470,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False
2,471,90,0,0,0,4,0,0,0,0,0,0,0,2,True,False
2,472,90,0,0,0,4,0,0,0,0,0,0,0,2,True,False
2,473,21,1,0,0,0,0,0,0,0,0,0,0,5,True,False
2,474,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False
2,475,79,0,0,0,3,0,0,0,1,0,0,0,0,True,False
2,476,45,0,0,0,1,0,0,0,0,0,0,0,1,True,False
2,477,71,0,0,0,1,0,0,0,0,0,0,0,2,True,False
2,478,12,0,0,0,1,0,0,0,0,0,0,0,1,True,False
2,479,45,0,0,0,3,0,0,0,0,0,0,0,1,True,False
2,480,90,0,0,0,1,0,0,0,0,0,0,0,2,True,False
2,481,56,0,0,0,2,0,0,0,0,0,0,0,1,True,False
2,482,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False
2,483,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False
2,484,45,0,0,0,1,0,0,0,0,0,0,0,1,True,False
2,485,90,0,0,0,2,0,0,0,0,0,4,0,2,True,False
2,486,18,0,0,0,0,0,0,0,0,0,0,0,1,True,False
2,487,25,0,0,0,1,0,0,0,0,0,0,0,1,True,False
2,488,58,1,0,0,3,0,0,0,0,0,0,0,5,True,False
2,489,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False
2,490,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False
2,491,24,0,0,0,1,0,0,0,0,0,0,0,1,True,False
2,492,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False
2,493,3,0,0,0,0,0,0,0,0,0,0,0,1,True,False
2,494,18,0,0,0,0,0,0,0,0,0,0,0,1,True,False
2,495,65,0,1,1,0,0,0,0,0,0,0,0,6,True,False
2,496,24,0,0,0,1,0,0,0,0,0,0,0,1,True,False
2,497,26,0,0,0,1,0,0,0,0,0,0,0,1,True,False
2,498,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False
2,499,21,0,0,0,0,0,0,0,0,0,0,0,1,True,False
2,500,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False
2,501,90,0,0,0,1,0,0,0,0,0,0,0,2,True,False
2,502,3,0,0,0,0,0,0,0,0,0,0,0,1,True,False
2,503,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False
2,504,45,0,0,0,1,0,0,0,0,0,0,0,1,True,False
